,AGE,HAVE_ISOLATED_WORKSPACE,PREVIOUSLY_WORKED_FROM_HOME,PRODUCTIVITY_PRE_COVID,PRODUCTIVITY_COVID_START,PRODUCTIVITY_LAST_MONTH,ENJOYED_WFH_PRE_COVID,ENJOYED_WFH_COVID_START,ENJOYED_WFH_LAST_MONTH,RETURN_TO_NORMAL_PLAN_OPTIMISM_SELF,RETURN_TO_NORMAL_PLAN_OPTIMISM_EMPLOYER,MALE,2_PLUS_ADULTS_AT_HOME,2_PLUS_KIDS_AT_HOME,2_ADULTS_AT_HOME,2_KIDS_AT_HOME,1_ADULT_AT_HOME,1_KID_AT_HOME,0_ADULTS_AT_HOME,0_KIDS_AT_HOME,WFH_50_PERCENT_OR_GREATER_PRE_COVID,WFH_50_PERCENT_OR_GREATER_FUTURE_PREFERENCE,YEARS_OF_EXPERIENCE_10_YEARS_OR_GREATER,PREVIOUSLY_WORKED_FROM_HOME_5_YEARS_OR_GREATER
0,40,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True
1,30,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False
2,40,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True
3,30,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True
4,30,True,False,True,True,True,True,True,True,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False
5,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
6,30,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
7,20,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
8,40,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False
9,40,True,True,True,True,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,True,True
10,40,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True
11,40,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,True
12,20,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,False
13,30,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False
14,30,True,False,False,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
15,30,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False
16,50,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False
17,20,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False
18,40,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
19,50,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True
20,40,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False
21,20,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False
22,30,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True
23,40,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False
24,30,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
25,30,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,True
26,20,True,False,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
27,30,False,False,True,True,True,False,True,True,True,True,True,False,True,False,False,True,False,False,False,False,True,True,False
28,20,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False
29,40,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False
30,30,False,True,True,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True
31,30,True,True,True,False,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,True
32,40,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False
33,40,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False
34,20,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False
35,40,True,True,False,False,True,False,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,True
36,40,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,True
37,40,True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False
38,30,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False
39,40,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,True,True,True
40,30,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,False,True,True,True,False
41,40,True,True,False,True,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False
42,40,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False
43,40,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False
44,50,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False
45,20,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False
46,30,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False
47,30,True,True,True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
48,30,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False
49,30,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False
50,40,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,True,True,True
51,40,True,False,False,True,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
52,30,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False
53,40,False,True,True,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False
54,30,True,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False
55,20,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,False
56,50,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,True,False
57,50,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False
58,30,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False
59,30,False,True,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False
60,50,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False
61,50,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False
62,30,True,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
63,40,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False
64,30,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True
65,30,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True
66,20,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False
67,30,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True
68,30,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False
69,30,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False
70,30,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False
